Company,ABN,SME,Manufacturer,website,Suburb,Postcode,Business type/products,,,,,,,,,,,,,,,,,,,,,,,,,,SECTORS,ADVANCED_TECHNOLOGIES,CREATIVE_INDUSTRIES,ENERGY,HEALTH,ADVANCED_MANUFACTURING,,,,,,
3ME Technology,69612468621,Yes,Yes,www.3me.technology/,Cardiff,2285,"Australian heavy-vehicle battery manufacturer designing and producing energy-dense, lithium-ion battery systems in a modular format to power mining and military electric vehicles (EV) and equipment.",,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED_TECHNOLOGIES,AI & IoT & Machine Learning,"music, film, performing arts",Clean energy & renewables,MedTech,3D printing,,,,,,
4 Pines Brewing Company,40 141 244 046,Yes,Yes,www.4pinesbeer.coma.u,Brookvale,2100,Brewing company - beer,,,,,,,,,,,,,,,,,,,,,,,,,,ENERGY,,,,,Nano-manufacturing,,,,,,
ABCorp,25072977292,Yes,Yes,https://abcorp.com/,Ingleburn,2565,"ABCorp is a manufacturing services company. Our roots as a secure printer trace back, through American Bank Note Company, over two centuries, to 1795 when the newly established First Bank of the United States called upon us to create a counterfeit-resistant currency for a young nation. We are expert at fraud prevention, and are called upon to design manufacturing processes where the tolerance for error is zero. Our products and services facilitate millions of transactions around the globe, each day. No company has more experience in the areas of authentication, payments, and secure access. We design, manufacture, and personalize contactless credit cards, 3D print highly detailed prototypes and parts, and deliver omnichannel content to elevate the customer experience. These are just a few of the things we do, all in a highly secure ecosystem.",,,,,,,,,,,,,,,,,,,,,,,,,,Education & Training,,,,,Bio-manufacturing & bilogical integration,,,,,,
Accenture Australia,49 096 776 895,No,No,https://www.accenture.com/au-en,Barangaroo,2000,management consultant,,,,,,,,,,,,,,,,,,,,,,,,,,Fintech & Financial Services,,,,,Sustainable manufacturing & Life Cycle Engineering,,,,,,
ACO Pty Ltd,65050102942,Yes,Yes,www.acoaus.com.au,Emu Plains,2750,drainage and water management solutions,,,,,,,,,,,,,,,,,,,,,,,,,,ADVANCED_MANUFACTURING,,,,,,,,,,,
ACT Steelworks,47119182188,Yes,Yes,www.actsteelworks.com.au ,Queanbeyan,2620,steel manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,
ADE Power,85622492880,Yes,Yes,https://ade-power.com/,Hexham,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,3rd party product distributor,,,,,,,,,,,
ADP,43121234688,Yes,Yes,https://www.adpaustralia.com.au/,unanderra,2526,design and manufacture bathroom and laundry furniture and products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADROITA,15612224941,Yes,No,https://adroita.com.au,Potts Point,2011,"ADROITA delivers highly specialised engineering and other professional services for Defence, including maritime combat systems integration, systems engineering, test and evaluation, project/program management, commercial and technical services. We use modelling and data analytics to support complex decision making.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AES Environmental,93101989324,Yes,Yes,https://www.aesenvironmental.com.au,Minto NSW,2566,"air filtration and pollution control manufacturing capabilities in Sydney HQ factory and local branches across Australia. Manufacturer of Biological Safety Cabinets, HEPA Filters and contamination control products",,,,,,,,,,,,,,,,,,,,,,,,,,,IT & Digital,,architecture & design,,Oil & gas,,,Biotech,,,Digital design & rapid prototyping
Affordable Clotheslines and Mailboxes,90951531643,Yes,n,https://sydneyclotheslines.com.au/contact-us/,Lugarno,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blockchain,,fashion,,,,,Digital Health,,,Precision engineering
AI Consulting Group,12635430634,Yes,No,https://www.aiconsultinggroup.com.au/,Sydney,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bio-manufacturing & biological integration
Air Affairs,94006238839,yes,yes,www.airaffairs.com.au,Nowra,2541,"provision of specialised airborne and engineering services to Defence Forces, Government Departments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sustainable manufacturing & Life Cycle Engineering
